DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,id
2,1,6,186.03485,byplayer,1,7,4,2,3,78.056755,FURY_Ronon,account.17cfc55c4428413e841ef3b41dcb5ccb,0,6090.878,0,0.0,0,1515,0,1965.4725,6,2,c665cfb1-02e2-44b4-9772-9631bce72b5c
0,0,3,199.6596,byplayer,0,4,40,0,0,0.0,KX_Yuren,account.06509a78c5f841e98d0900cd693b71e1,1,3170.2441,0,0.0,0,1433,0,1062.7766,4,4,cbe108d2-3386-4bd4-9284-0100abe3d441
0,1,1,173.66896,byplayer,0,0,57,0,0,0.0,SSG_Keenan,account.d41d767940c24b6dab6b1cd04b6790fd,0,4640.0283,0,0.0,0,894,0,424.7412,4,13,5ebf254d-5085-4afc-bbb2-2be72a978723
0,0,0,27.000002,byplayer,0,0,65,0,0,0.0,VP_Lu,account.a176261e9fb3455281657ff33ee65bb5,0,0.0,0,0.0,0,80,0,1.3243227,1,16,b914b882-498f-46f0-89cb-374a51b229d0
1,3,2,370.90048,byplayer,1,1,18,1,1,74.1533,FURY_Ykikamucow,account.d4d084bbf0c2400480a484110ff67eee,0,6220.129,0,0.0,0,1643,0,2118.2593,3,2,9885b6ba-c126-486b-94fb-12e21801bd20
1,1,8,215.7031,alive,0,3,7,1,2,141.18279,GEN_Esther,account.b360f8d016e447cf8d53b11f116b9097,0,2023.3359,0,0.0,0,1677,0,2090.3628,3,1,5f45be87-827d-4d75-bd18-59ce767e914e
2,0,7,200.0,byplayer,0,8,29,1,1,47.65797,Uniq_Fate,account.0252627356fb431a8c61b805b74d4aea,0,7370.5713,0,0.0,0,1168,0,1721.9459,5,11,a627a088-5e29-4790-9a1a-c10dd82c1a17
1,0,4,163.14,byplayer,0,1,47,0,0,0.0,TL_clib,account.71e1a340a2b24ad7847cf6bc13fe3d91,0,5585.061,0,0.0,0,1284,0,1316.6036,3,10,f8741455-fa4a-4db9-b8a0-d8fa620a3b53
0,0,0,0.0,byplayer,0,0,38,0,0,0.0,AAP_SilentKnight,account.67002b09bba94a0eb3ab1d6132bbaeb0,0,3094.87,0,0.0,0,1240,0,1854.14,7,3,e576134f-30f1-4965-b6b6-5a8616ca38bc
2,0,3,187.58658,byplayer,0,0,19,1,1,21.418772,AAA_J4nku2of,account.00d747e690bd4a6281e241c11e1817ff,0,3213.3232,0,0.0,0,1337,0,1339.8578,3,6,546de9a3-9a6e-44d1-83c1-415f0ed8b6a0
1,1,3,106.68626,byplayer,1,1,21,1,1,62.29647,AAA_Gems,account.f157769d426b4481aef391abfde94f63,0,4189.721,0,0.0,0,1318,0,1257.2434,4,6,8af99d5d-d1f3-4032-9300-521a433d76ee
2,1,2,165.16885,byplayer,0,0,31,1,1,70.41032,SSG_oldless,account.895937195477442b85686956ada8cd61,0,4747.57,0,0.0,0,923,0,853.1804,5,13,c441a937-e106-435d-a647-d354610d4eb0
2,1,5,318.5472,byplayer,0,3,6,1,3,34.53194,DNW_Salute,account.3d7e95d657224d499002005339c703fb,0,940.2131,0,0.0,0,1322,0,2093.6655,5,7,95bc050d-9ea9-4212-bab0-4d7092fb720d
1,1,3,273.51794,byplayer,0,2,8,1,2,37.331367,FURY_Insight,account.367fa053eea740a9a1423b110d078f23,1,6303.16,0,0.0,0,1677,0,2412.8333,4,2,2c7d5805-879f-4a72-9569-dbec2f1f3384
1,0,4,86.88393,byplayer,0,1,3,2,4,319.29684,NH_ZpYan1,account.ed3274ce35d34aa6ae75e8fe56b909d8,0,2223.7993,0,0.0,0,1330,0,1403.2634,4,5,0bc2f834-c116-439f-ba3c-0211486921b6
0,1,2,109.27281,byplayer,0,1,46,0,0,0.0,HERO_TeaBone,account.d31551027f9847fc9b03c9c391943923,0,2431.34,0,0.0,0,1278,0,1314.5325,5,8,74f226d3-3311-4196-af8a-b293c2f56e42
1,1,2,512.63635,byplayer,1,3,5,1,3,34.97333,AAP_AljnBOTz,account.6359ba7e82d34f2b85dbcfc61e9ccf59,2,3253.633,0,0.0,0,1663,0,3431.2278,3,3,9ed5bc34-113c-4002-8e74-96e9034079ab
0,0,0,0.0,byplayer,0,0,59,0,0,0.0,GBL_Renba,account.103b3596564a45d1a58b3bfb723cc319,0,0.0,0,0.0,0,118,0,63.108185,2,14,a559f4bb-c253-4942-8ebb-0391384cf92a
1,1,0,35.32,byplayer,0,2,33,1,1,1.8844914,GBL_Lambu,account.61ae3d6e0c1848069e267f1f0e02a393,0,0.0,0,0.0,0,331,0,321.00595,1,14,30c61a33-7072-4eda-bc68-2f0161a0c88f
0,0,0,0.0,byplayer,0,0,64,0,0,0.0,VP_Perfect1ks,account.71f30d7f01be404da060652f46f31340,0,0.0,0,0.0,0,84,0,4.0998635,1,16,d215e1a6-3b32-4d78-843f-2415d85a9d57
2,2,0,133.80829,byplayer,0,0,53,0,0,0.0,FaZe_Aitzy,account.ef37fe1de31342eda580c3681a8d46cd,0,7142.0,0,0.0,0,919,0,723.20483,4,12,debc51e1-973d-45ba-8c86-20610e49da70
1,1,4,249.9379,byplayer,0,6,11,1,2,87.40161,NH_Nannnnn,account.84c476ec067a486b93c9742b3facb698,0,2131.81,0,0.0,0,1341,0,1717.7933,5,5,5b784b4c-79d4-4065-90dc-8c88103dd6d9
0,2,1,64.68,byplayer,0,1,58,0,0,0.0,GBL_Adder,account.a8121514ac294bfa8556155aad4baeb4,0,0.0,0,0.0,0,331,0,249.14238,5,14,d282c038-306a-491a-bd9a-f16144cc1708
0,0,5,91.76807,byzone,0,0,45,0,0,0.0,HERO_curexi,account.395296eb7dfc46d6b58a974db5814ae4,0,3025.4697,0,0.0,0,1313,0,1433.3224,3,8,80ee3559-14b3-4f94-ace1-54ba4934faf4
0,0,0,0.0,byplayer,0,0,52,0,0,0.0,Uniq_ADOUZ1E,account.be8d87a4cce7403e984a547d9b5145cc,0,2973.8113,0,0.0,0,512,0,529.12885,4,11,7e1931c2-0afd-444a-8ba2-0918b0e8e17f
0,0,0,0.0,byplayer,0,0,62,0,0,0.0,VP_spyrro,account.05a52ebc312f49c081a043e8403606ea,0,0.0,0,0.0,0,93,0,24.353891,1,16,9c7ba3d3-2595-49da-975e-213e32262871
2,0,0,200.0,byplayer,1,0,16,2,2,5.95214,GBL_Spear,account.d210ba9bd9bb4b84bdc703d9ea52e186,0,0.0,0,0.0,0,251,0,47.77413,1,14,c11f6352-e8a1-430d-8810-d6fb9f4d8180
0,0,1,55.20069,byplayer,0,0,49,0,0,0.0,TL_mxey,account.e0eb2ef6f3834862bea364b261552568,0,6155.509,0,0.0,0,953,0,938.0061,3,10,72f35e39-7470-4225-b9f6-d54ad172ed72
2,0,7,273.73816,byplayer,0,0,14,1,2,14.942796,DNW_LeClo,account.e04c4433a4e14194b51728d152965c68,0,1908.3063,0,0.0,0,1284,0,1697.7316,7,7,e0087c40-17d2-4ea3-9902-05a2953f99b0
1,0,0,108.42221,byplayer,0,0,25,1,1,14.519567,BRU_Eaddy,account.e1c31aaef15d476e851c1118ea00cb4d,0,7045.267,0,0.0,0,1305,0,927.04724,5,9,8895efcd-ad36-456c-8cb5-f2b08eb7d430
0,1,0,119.260124,byzone,0,1,24,1,1,310.64893,HERO_PaG3,account.0aa8b24612a94e08bf3ab9b33c751f4a,0,3076.7935,0,0.0,0,1324,0,1077.8523,5,8,5fcfb611-3d5c-444b-af2f-3c1b2d2d477f
0,0,0,0.0,byplayer,0,0,44,0,0,0.0,NH_MMing,account.bc54127863064a93b679160661b94f3b,0,1429.0238,0,0.0,0,508,0,733.8435,6,5,ac0aadce-34b0-49fc-875a-7823e1da9601
1,0,0,79.589836,byplayer,0,0,34,1,1,15.081857,BBL_Smash,account.5a241fe70c45412d9cdd090011acd582,0,0.0,0,0.0,0,274,0,74.422646,3,15,95c847e3-eb10-4b83-81aa-901fb4aea6b8
0,0,1,13.495016,byplayer,0,1,56,0,0,0.0,SSG_Roth,account.c502c0615ed54582a75dbd44f3eb1fb6,0,5241.783,0,0.0,0,911,0,538.8062,5,13,8edf3f27-0865-4669-ade3-d96a9a9e6d3f
